Turkish,English
bir,one
ve,and
olmak,be
bu,it
için,for
o,he
ben,I
demek,say
çok,very
yapmak,make
ne,What
gibi,as
daha,more
almak,receive
var,there is
kendi,own
gelmek,come
ile,with
vermek,give
ama,but
sonra,Then
kadar,until
yer,place
en,most
insan,human
değil,not
her,each
istemek,request
yıl,year
çıkmak,exit
görmek,see
gün,day
biz,we
gitmek,go
iş,business
şey,thing
ara,Search
ki,that
bilmek,know
el,hand
zaman,time
ya,either
çocuk,child
iki,two
bakmak,look
çalışmak,work
içinde,in
büyük,big
yok,no
başlamak,to start
yol,way
kalmak,stay
neden,why is that
siz,you
konu,subject
yapılmak,be done
iyi,good
kadın,woman
ev,home
ise,if
diye,that
bulunmak,have
söylemek,say
göz,eye
gerekmek,be required
dünya,world
baş,top
durum,status
yan,side
geçmek,pass
sen,joyful
onlar,them
yeni,new
önce,before
başka,another
hal,status
orta,middle
su,That
girmek,enter
ülke,country
yemek,food
hiç,no
bile,even
nasıl,how
bütün,all
karşı,against
bulmak,find
böyle,such
yaşamak,live
düşünmek,think
aynı,same
iç,internal
ancak,but
kişi,person
bunlar,these
veya,or
ilk,first
göre,by
ön,front
son,end
biri,someone
şekil,figure
önemli,important
yüz,face
hem,and
göstermek,show
etmek,to make
alt,lower
getirmek,to bring
kullanmak,use
çünkü,because
taraf,side
şimdi,now
adam,man
onun,her
diğer,other
artık,no longer
üzerinde,over
ses,sound
hep,always
doğru,right
durmak,stop
kız,girl
tüm,all
çekmek,attract
konuşmak,talk
para,money
anlamak,understand
anne,mom
az,little
bazı,Some
baba,father
hayat,life
sadece,just
küçük,small
fazla,much
bilgi,information
an,moment
sormak,ask
bunun,its
öyle,so
yine,again
sağlamak,provide
sonuç,result
kullanılmak,to be used
dış,tooth
ad,name
yani,so
süre,time
dönmek,return
açmak,open
oturmak,sit
anlatmak,tell
bırakmak,To leave
hemen,now
saat,hour
yaş,age
sorun,problem
devlet,state
sahip,owner
sıra,desk
yazmak,write
yüzde,percent
ay,moon
atmak,throw away
tutmak,keep
bunu,this
olay,event
düşmek,fall
duymak,hear
söz,promise
güzel,beautiful
sevmek,love
biraz,some
zor,hard
çıkarmak,eject
şu,That
koymak,put
tek,single
sistem,system
birlikte,together
verilmek,to be given
kim,who
alınmak,to be taken
genç,young
kapı,door
kitap,book
üzerine,over
burada,here
gece,night
alan,domain
birbiri,each other
işte,Request
beklemek,wait
uzun,long
hiçbir,no
bugün,today
dönem,period
arkadaş,friend
ürün,product
aile,family
üç,three
okumak,reading
erkek,male
herkes,everyone
güç,power
belki,maybe
gerçek,real
tam,full
ilgili,about
ilişki,relationship
çevre,environment
eski,old
aramak,search
yaşam,life
halk,people
yakın,near
sokak,Street
bey,bey
tarih,history
özellik,property
bölüm,episode
özel,special
akıl,mind
kimse,nobody
pek,very
eğer,if
gerek,need
özellikle,especially
anlam,meaning
yüksek,high
banka,bank
kez,times
ayak,foot
taşımak,transport
geri,back
toplum,society
araç,vehicle
madde,matter
tür,kind
karar,decision
görülmek,occur
hava,air
sayı,number
farklı,different
grup,group
oda,room
biçim,format
oluşmak,occur
haber,news
Allah,God
ayrıca,also
gelen,incoming
birkaç,a few
soru,question
arka,back
kazanmak,win
yazı,article
okul,school
açık,open
öğrenmek,learn
sürmek,lead
dil,language
şirket,company
kaynak,source
bitmek,end
program,program
devam etmek,continue
hareket,movement
renk,color
açılmak,open
hak,right
inanmak,believe
çalışma,work
açı,pain
parça,piece
gazete,newspaper
oluşturmak,create
tabi,subject
değer,value
tanımak,know
yapı,structure
doktor,doctor
gelir,income
görev,task
amaç,goal
bölge,region
film,film
üzere,in
müşteri,customer
zaten,already
telefon,telephone
eğitim,education
deniz,sea
ikinci,second
kalkmak,get up
hatta,even
etki,effect
gelişmek,thrive
geçen,last
vücut,body
düşünce,idea
milyon,million
oynamak,play
değişmek,changing
temel,basic
yaratmak,create
ulaşmak,reach
sanmak,suppose
geçirmek,put in
kültür,culture
kurmak,establish
fakat,but
buna,this
resim,picture
ışık,light
içmek,drink
hanım,lady
hizmet,service
ihtiyaç,need
nokta,dot
yön,direction
evet,Yes
oyun,game
artmak,increase
yeniden,again
işlem,operation
kısa,short
kolay,easy
hangi,which
oran,rate
aslında,actually
kabul etmek,to accept
orada,there
dikkat,attention
uzak,far
bilgisayar,computer
gelecek,the future
görünmek,seem
örneğin,for example
oğul,son
dinlemek,listen
uygun,appropriate
lira,lira
üretim,production
dakika,minute
unutmak,forget
yürümek,walk
böylece,thus
kötü,bad
araba,car
ağız,mouth
duygu,emotion
uygulamak,apply
hâlâ,still
örnek,sample
birçok,many
izlemek,watch
derece,degree
mümkün,possible
şöyle,As
duvar,wall
on,front
sanat,art
ana,mother
hastalık,illness
öğrenci,student
televizyon,television
yöntem,method
masa,table
ölmek,die
takım,team
üst,top
kafa,head
müzik,music
ayrılmak,leave
enerji,energy
üniversite,university
spor,Sport
türlü,various
can,Bell
rağmen,despite
kısım,part
ölüm,death
sürekli,continuous
sağlık,health
çeşitli,various
bundan,from this
hissetmek,feel
oysa,whereas
sabah,morning
internet,Internet
teknik,technical
dışarı,out
merkez,center
ortam,environment
yerine,instead
düzey,level
köy,Bay
yönetim,Administration
aşağı,down
cevap,reply
yatmak,lie
toprak,soil
isim,name
akşam,evening
araştırma,research
götürmek,take
katılmak,join
yoksa,or
kurulmak,be built
ödemek,pay
sanki,if
kan,blood
hasta,patient
şehir,city
inmek,alight
sunmak,offer
bilinmek,to be known
hafta,week
trafik,traffic
hesap,account
otomobil,car
yabancı,foreign
davranış,behaviour
mutfak,kitchen
kent,city
bazen,sometimes
belli,certain
ayrı,separate
fiyat,price
hakkında,about
kaldırmak,remove
kol,arm
yalnız,alone
hazırlamak,prepare
cam,pine
sonunda,finally
yavaş,slow
gerekli,necessary
önem,importance
koca,husband
yanlış,false
varlık,presence
art,increased
ilgi,interest
sana,you
satış,sales
içeri,inside
doğal,natural
sahip olmak,have
ekonomik,economic
acı,pain
hayır,no
korumak,protect
kat,floor
ekonomi,economy
genel,general
belirtmek,specify
fotoğraf,photo
hayvan,animal
savaş,war
mal,goods
saç,hair
kaybetmek,lose
kalan,remaining
değiştirmek,change
dört,four
gerçekten,really
sayfa,page
teknoloji,technology
kurum,institution
beş,five
sektör,sector
geniş,Large
kağıt,paper
koku,smell
sağ,right
sıcak,hot
yüzyıl,century
cadde,Street
pazar,market
sürdürmek,maintain
kullanım,use
sınıf,class
aşk,love
doğmak,be born
ağır,heavy
tekrar,again
güneş,sun
sigara,cigaret
ağaç,tree
kelime,word
bina,building
eş,spouse
kaçmak,escape
parti,party
yatak,bed
yazar,author
kulak,ear
öğretmen,teacher
sebep,reason
sol,left
peki,Well
yağ,oil
yüzden,why
anlaşılmak,be understood
varmak,arrive
gülmek,laugh
kural,rule
satmak,sell
şiir,poetry
göndermek,send
başarı,success
firma,company
hükümet,government
kalp,heart
kesmek,cut
proje,project
şart,must
hız,speed
köşe,corner
vurmak,hit
model,model
balık,the fish
piyasa,market
görüş,opinion
bura,bura
hazırlanmak,prepare
miktar,quantity
birinci,first
meydan,square
ölçü,measure
seçmek,choose
uygulanmak,to apply
bahçe,garden
sevgi,love
ekmek,bread
boyunca,throughout
koşmak,run
dolu,full
kuruluş,establishment
saye,SA
korkmak,fear
yardım,help
karşılaşmak,encounter
malzeme,material
hoş,pleasant
köpek,dog
ünlü,famous
büyümek,grow
dolaşmak,wander
oldukça,quite
üstelik,moreover
yaşanmak,to live
beyaz,white
istek,claim
öte,beyond
denmek,you called
kardeş,brother
çekilmek,retreat
nerede,where
çalmak,play
izin,permission
korku,fear
meslek,job
polis,police
yalnızca,Only
açıklamak,explain
fikir,idea
hızlı,fast
pencere,window
uğraşmak,deal
taş,rock
ateş,fire
fark,difference
yetmek,suffice
çoğu,most
kimi,who
koşul,condition
mahalle,neighborhood
mutlaka,surely
tane,piece
üretmek,produce
üstüne,over
dayanmak,withstand
ince,thin
kaç,escape
ortak,partner
tip,medicine
görüntü,image
beri,since
ders,lesson
başkan,president
karşılık,provisions
kurtulmak,escape
numara,number
defa,times
edilmek,to be
batı,West
fark etmek,to notice
herhangi bir,any
sinema,cinema
değişik,different
hedef,target
uyumak,sleep
dost,friend
yanmak,burn
anlayış,understanding
asıl,noble
basmak,print
kenar,edge
kontrol,control
çevirmek,turn
din,religion
güçlü,strong
henüz,yet
plan,plan
beyin,brain
elektrik,electricity
karı,wife
üstünde,on
et,meat
sağlanmak,to provide
söylenmek,grouch
çizgi,line
uç,three
üye,member
cilt,skin
ruh,soul
sevgili,dear
yaklaşmak,approach
süreç,process
bakış,view
bilim,science
ileri,Further
ifade,expression
beden,Body size
hatırlamak,remember
kaza,accident
iyice,thoroughly
dağ,mountain
kapatmak,close
adım,step
ciddi,serious
çözüm,solution
etkilemek,affect
belediye,municipality
gelişme,development
seçim,selection
ağlamak,cry
bağlı,connected
kavram,concept
artırmak,increase
faaliyet,activity
zarar,damage
derin,deep
salon,living room
çeşit,kind
kesilmek,be cut
seyretmek,watch
birden,suddenly
içermek,contain
sayılmak,be counted
toplamak,collect
aşmak,exceed
bağırmak,yell
sorumluluk,responsibility
davranmak,behave
mektup,letter
soğuk,cold
canlı,Alive
idi,was
makine,machine
yararlanmak,benefit
yaşlı,old
boş,
acaba,I wonder
maç,match
yönetici,manager
getirilmek,to be
metre,meter
tutulmak,be held
kalite,quality
bitki,plant
değişiklik,alteration
ilaç,medicine
kredi,credit
yasa,live
başarılı,successful
birer,a
imkan,facility
ceza,criminal
her şey,everything
incelemek,examine
top,ball
uzman,expert
doldurmak,fill
kanal,channel
mekân,place
uymak,comply
yıllık,yearly
dolayısıyla,because of
yazılmak,sign up
ait,belonging to
parmak,finger
saymak,count
atılmak,plunge
belirlemek,determine
normal,normal
hele,hele
ilke,principle
kırmızı,red
rol,role
şarkı,song
eleman,Workman
hazır,ready
benzemek,look alike
bir şey,something
hoca,teacher
boy,size
günlük,diary
politika,policy
suç,crime
niye,why
sahne,scene
sokmak,sting
adet,piece
koltuk,armchair
kurtarmak,rescue
sanatçı,artist
tercih etmek,prefer
uzanmak,reach
aşama,stage
eklemek,add
orman,Forest
ayırmak,reserve
düzen,order
faiz,interest
genellikle,usually
her zaman,always
hikaye,story
hücre,cell
ora,ora
roman,novel
vergi,tax
yakmak,burn
ağabey,brother
basın,Press
destek,support
giymek,wear
hata,error
sınır,boundary
birlik,unity
eser,work
karşılamak,meet
yarı,half
yeterli,enough
birey,individual
karanlık,dark
otobüs,bus
sanayi,industry
bebek,baby
vatandaş,citizen
bakan,minister
kere,times
millet,nation
reklam,advertisement
yükselmek,rise
boyut,size
dergi,magazine
enflasyon,inflation
sosyal,social
birisi,someone
geçmiş,past
hastahane,hospitals
olma,being
toplantı,meeting
gazeteci,journalist
içerisi,within
inanç,faith
nitelik,quality
üzeri,over
bitirmek,finish
gerçekleşmek,materialize
giriş,login
rahat,comfortable
toplam,total
beraber,together
dükkan,store
gizli,hidden
benzer,similar
deri,skin
dönüşmek,turn
mücadele,struggle
problem,problem
servis,service
tedavi,treatment
yeşil,green
bakanlık,ministry
baskı,printing
tepki,reaction
cümle,sentence
dilemek,wish
özgürlük,freedom
gene,again
kimlik,ID
mesele,issue
üçüncü,third
belirlenmek,to be determined
değerlendirmek,evaluate
ilginç,interesting
sürücü,driver
süt,milk
yakalamak,catch
eşya,goods
uluslararası,international
aday,candidate
ağırlık,weight
milyar,billion
sağlıklı,healthy
sıkıntı,trouble
Tanrı,God
tavır,attitude
toplumsal,social
yayın,broadcasting
dikkat etmek,to be careful
son derece,extremely
toplanmak,collect
yatırım,investment
hafif,light
karışmak,interfere
tehlike,danger
vakit,time
daire,circle
fırsat,opportunity
işlemek,handle
karıştırmak,confuse
katkı,additive
öykü,story
tamamen,completely
uçak,airplane
yanıt,response
doğa,nature
evlenmek,get married
burun,nose
çıkar,interest
elbette,of course
işçi,worker
işletme,operating
kısaca,briefly
mağaza,shop
medya,media
yüzünden,because
artış,increase
çıkarılmak,to be removed
kamu,public
sigorta,insurance
yaz,summer
yürek,heart
belge,document
çaba,effort
her gün,everyday
ifade etmek,express
risk,risk
söz etmek,mention
sözcük,word
demokrasi,democracy
tuz,salt
cami,mosque
çağ,age
düşük,low
etraf,surroundings
hızla,quickly
olanak,possibility
organ,organ
öldürmek,kill
öteki,other
sene,year
bozulmak,addle
ilgilenmek,be interested in
meyve,fruit
takılmak,hang out
tatlı,dessert
bacak,leg
değişim,change
kanun,law
rüzgar,wind
cumhuriyet,republic
geliştirmek,develop
tarz,style
yedi,seven
azalmak,decrease
bağlamak,connect
cep telefonu,mobile phone
iletişim,Contact
müdür,manager
otel,hotel
yayımlanmak,to be published
zevk,taste
binmek,ride
güvenlik,security
hukuk,law
kılmak,render
modern,modern
okur,reader
silah,weapon
talep,request
yıldız,star
yoğun,Dense
asker,soldier
basit,simple
denilmek,to be called
gaz,gas
uygulama,application
üretilmek,produce
beyan,declaration
besin,food
dün,yesterday
görüşmek,discuss
yaklaşık,about
alışveriş,shopping
bilinç,consciousness
çerçeve,frame
lazım,necessary
mevcut,available
tüketici,consumer
uzatmak,extend
yönelik,intended
at,horse
bağlanmak,connect
mesela,for example
neredeyse,almost
site,sites
yardımcı olmak,help
abla,older sister
çiçek,flower
hepsi,all
saygı,respect
ücret,fee
kilo,kilo
paylaşmak,share
sert,hard
yanı sıra,Besides the
çay,tea
gider,expense
kesin,exact
zengin,rich
asla,never
laf,word
örgüt,organization
ticaret,trade
yaptırmak,have it made
boyun,neck
cihaz,device
denge,balance
giderek,increasingly
sırt,back
dolayı,because
kahve,coffee
kas,eyebrow
meclis,council
öteki,other
uğraşmak,deal
adres,address
belirtilmek,to be specified
paşa,Pasha
sıcaklık,temperature
tamam,OK
güven,confidence
marka,brand
yaprak,leaf
yarar,benefit
yayılmak,spread
akmak,flow
çizmek,draw
düşünülmek,to be considered
gönül,heart
hayal,dream
ilerlemek,advance
şarap,wine
yukarıda,above
altın,gold
düzenlemek,organize
satın almak,Purchasing
sunulmak,to be presented
temiz,clean
vitamin,vitamin
ek,additional
geç,late
hareket etmek,act
yumurta,egg
aşırı,extreme
eylem,action
istenmek,to the desired
kesim,cut
kriz,crisis
birim,unit
kapanmak,close down
